,№ заявки,Цех,Инв. номер,Год выпуска,Оборудование,Модель,Дата открытия,Описание неисправ.,Причина неисправности,Принятые меры,Дата закрытия заявки,data,day,month,year,temp,длительность ремонта,Категория оборудования
15303,19-05-111,ЦЕХ 15,6-249,2017.0,холодильная камера,FSK3-150-0528-0528-G-B,2019-05-29,не набирает нужную температуру,не вкл вентиляторы охлаждения,попытка отремонтировать силами цеха или вызов спец-та,2019-05-30,2019-05-29,29.0,5.0,2019.0,29.0,1 days,Я
15304,19-05-120,ЦЕХ 16,1-114,2003.0,6-ти координатнный лазерный комп. с чпу,790XS,2019-05-30,греется холодильник,,,2019-05-30,2019-05-30,30.0,5.0,2019.0,29.0,0 days,У
15305,19-05-126,ЦЕХ 26,5/38,1989.0,tokapho-peboльb.ct. с чпу,1В340Ф30РМ,2019-05-30,не фиксируется голова,износ деталей мех-зма,регулировка мех-зма смены инструмента,2019-05-31,2019-05-30,30.0,5.0,2019.0,29.0,1 days,Р
15306,19-05-133,ЦЕХ 16,5-721,1988.0,верт.фрезерный с чпу,6M13CH2,2019-05-30,подключить охлаждение к шкафу,скачок напряжения,перезапуск,2019-06-03,2019-05-30,30.0,5.0,2019.0,29.0,4 days,Ф
15307,19-05-132,ЦЕХ 16,5-721,1988.0,верт.фрезерный с чпу,6M13CH2,2019-05-30,подключить охлаждение к шкафу,сбой системы,перезагрузка системы станка,2019-05-31,2019-05-30,30.0,5.0,2019.0,29.0,1 days,Ф
15308,19-05-125,ЦЕХ 41,4-351,2002.0,заточной станок с чпу,MGX,2019-05-30,остановка станции охлаждения сож,неисправность контроллера,наладка контроллера,2019-05-30,2019-05-30,30.0,5.0,2019.0,29.0,0 days,И
15309,19-05-127,ЦЕХ 41,4/314,2001.0,п/автомат для червячhых фрез,В3-449Ф2,2019-05-30,остановка цикла,разрегулировка узла деления,диагностика и регулирование г/схемы,2019-05-30,2019-05-30,30.0,5.0,2019.0,29.0,0 days,И
15310,19-05-123,ЦЕХ 20,5-599,2010.0,профилешлифовальный станок,SXS 512,2019-05-30,не запускается,сбой в работе блока,перезапуск блока автоматич.балансировки,2019-05-31,2019-05-30,30.0,5.0,2019.0,29.0,1 days,Ш
15311,19-05-116,ЦЕХ 20,5-599,2010.0,профилешлифовальный станок,SXS 512,2019-05-30,н/р хол-к охлаждения шкафа чпу,загрязнен радиатор,чистка радиатора,2019-05-30,2019-05-30,30.0,5.0,2019.0,29.0,0 days,Ш
15312,19-05-119,ЦЕХ 19,8-147,2002.0,станок зубошлифовальный с чпу,G 30,2019-05-30,проезжает референтную точку,попадание абразива,реставрация концевиков,2019-05-30,2019-05-30,30.0,5.0,2019.0,29.0,0 days,Ш
15313,19-05-134,ЦЕХ 19,8-147,2002.0,станок зубошлифовальный с чпу,G 30,2019-05-30,нет движения по оси с,вышли из строя концевики по оси с,"снятие, промывка, очистка и установка на место",2019-05-30,2019-05-30,30.0,5.0,2019.0,29.0,0 days,Ш
15314,19-05-131,ЦЕХ 19,8-151,2012.0,станок зубошлифовальный с чпу,G 30,2019-05-30,отладить системное по,выход из строя жесткого диска,восстановление жесткого диска,2019-05-30,2019-05-30,30.0,5.0,2019.0,29.0,0 days,Ш
15315,19-05-124,ЦЕХ 41,8-139,2002.0,станок резьбошлифовальный с чпу,RG-500,2019-05-30,нет сигнала на магнитопускатель,,,2019-06-04,2019-05-30,30.0,5.0,2019.0,29.0,5 days,Ш
15316,19-05-135,ЦЕХ 20,6/454,1984.0,уст-ка д/ионноплазменного напыления,МАП-1,2019-05-30,"нет очистки, не поджигается катод",неправильная загрузка садки,оптимизация работы установки,2019-06-04,2019-05-30,30.0,5.0,2019.0,29.0,5 days,У
15317,19-05-118,ЦЕХ 15,3/537,1985.0,эл.пeчь kamep.bakуmh.,FHV90GHS,2019-05-30,н/р клавиатура аварийного прибора,неисправна панель управления ввода данных,восстановление работоспособности,2019-05-30,2019-05-30,30.0,5.0,2019.0,29.0,0 days,Г
15318,19-05-129,ЦЕХ 3,5/195,1975.0,электроэрозионный станок,4Д722В,2019-05-30,не хватает тока,выход из строя силового блока,ремонт блока,2019-06-04,2019-05-30,30.0,5.0,2019.0,29.0,5 days,Э
15319,19-05-122,ЦЕХ 20,5-625,2014.0,электроэрозион. копировально-прошивоч. станок,NX4C,2019-05-30,н/р пульт управления,неконтакт в разъеме ручного пульта управления,восстановление работоспособности,2019-06-03,2019-05-30,30.0,5.0,2019.0,29.0,4 days,Э
15320,19-05-117,ЦЕХ 17,5-631,2016.0,электроэрозионный станок,4К722АФ1,2019-05-30,сбой в программе,пробит ключ в силовом блоке,замена силового блока поджига,2019-05-30,2019-05-30,30.0,5.0,2019.0,29.0,0 days,Э
15321,19-05-128,ЦЕХ 15,3-638,2000.0,вакуумная печь,FRVOQ PC 36*36,2019-05-30,не открывается дверь,требуется замена платы управления золотником открытия внутренней двери,диагностика,2019-06-03,2019-05-30,30.0,5.0,2019.0,29.0,4 days,Г
15322,19-05-130,ЦЕХ 15,3-638,2000.0,вакуумная печь,FRVOQ PC 36*36,2019-05-30,не открывается дверь,необходима замена золотника открытия внутренней двери на оригинальный с обратной связью,диагностика,2019-06-03,2019-05-30,30.0,5.0,2019.0,29.0,4 days,Г
15323,19-05-121,ЦЕХ 16,5-775,2013.0,станок токарный универсальный,DUS-1110 Li,2019-05-30,"греется холодильник, станок останавливается",уровень масла ниже положеного,диагностика работы ст-ка,2019-05-31,2019-05-30,30.0,5.0,2019.0,29.0,1 days,Т
15324,19-05-139,ЦЕХ 19,2-114,2002.0,зубодолбнжный ст-к,LFS-382,2019-05-31,ошибка системы смазки,нет смазки оси х,рег-ка реле давления,2019-06-03,2019-05-31,31.0,5.0,2019.0,24.0,3 days,М
15325,19-05-138,ЦЕХ 43,5-242,2012.0,обрабатывающий центр фрезерный,KX 100EVO2,2019-05-31,нехватка давления,сбой работы г/схемы,регулировка двления г/схемы,2019-05-31,2019-05-31,31.0,5.0,2019.0,24.0,0 days,А
15326,19-05-137,ЦЕХ 9,1-371,2002.0,пpecc элektpobиhtоboй,SPR-1000,2019-05-31,ошибка по температуре,перегрев масла,настройка датчиков,2019-05-31,2019-05-31,31.0,5.0,2019.0,24.0,0 days,Д
15327,19-05-136,ЦЕХ 23,5-711,2001.0,спец.фрезерный с чпу,А-750,2019-05-31,просят помощи в монтаже двиг.шпинделя,"треб.подключение двигателя,датчиков",монтаж двигат.шпинделя сичт.зажима инстр-та,2019-05-31,2019-05-31,31.0,5.0,2019.0,24.0,0 days,Ф
15328,19-06-001,ЦЕХ 16,5-248,2015.0,обрабатывающий центр фрезерный пятиосевой,MX10,2019-06-01,не работает,не обраружена,проверено - ст-к работает,2019-06-01,2019-06-01,1.0,6.0,2019.0,22.0,0 days,А
15330,19-06-004,ЦЕХ 19,2-114,2002.0,зубодолбнжный ст-к,LFS-382,2019-06-03,ош по датчику,ош по системе смазки,ремонт устройства центральной смазки,2019-06-03,2019-06-03,3.0,6.0,2019.0,21.0,0 days,М
15331,19-06-008,ЦЕХ 19,8-151,2012.0,станок зубошлифовальный с чпу,G 30,2019-06-03,н/р с-ма управления,зависание системы,перезагрузка,2019-06-03,2019-06-03,3.0,6.0,2019.0,21.0,0 days,Ш
15332,19-06-003,"Филиал ""НИИД""",5-1389,2009.0,установка индукционной закалки,ИЗ-7,2019-06-03,не видит компьютер,неправильные действия оператора,отладка программы,2019-06-04,2019-06-03,3.0,6.0,2019.0,21.0,1 days,З
15333,19-06-002,ЦЕХ 26,5/540,2001.0,электроэрозионный станок с чпу,Р36+Е50,2019-06-03,н/р кнопка пиноли: ход вниз,выход из строя кнопки q34 пульта ручного управления,замена кнопки,2019-06-04,2019-06-03,3.0,6.0,2019.0,21.0,1 days,Э
15334,19-06-006,Управление главного металлурга,5-735,2002.0,tokaphый ctанок с чпу,H-150,2019-06-03,запустить станок,новый оператор,обучение оператора,2019-06-03,2019-06-03,3.0,6.0,2019.0,21.0,0 days,Т
15335,19-06-007,ЦЕХ 17,9-968,2002.0,сварочный выпрямитель,ВСВУ-400,2019-06-03,нет дуги,неисправность реле времени в блоке управления подачи газа,замена реле времени в блоке,2019-06-04,2019-06-03,3.0,6.0,2019.0,21.0,1 days,Э
15336,19-06-005,ЦЕХ 5,7/272,1988.0,токарhый п/автомат с чпу,АТПр-800М,2019-06-03,залипают кнопки на клавиатуре,неисправность чпу,необходима закупка нового чпу,2019-06-04,2019-06-03,3.0,6.0,2019.0,21.0,1 days,Т
15337,19-06-011,ЦЕХ 35,5/720,2003.0,верт.фрезерный с чпу,6M13CH2,2019-06-04,не выходит в 0 по у,разрегулировка конц выключателей,рег-ка концевых выключателей,2019-06-04,2019-06-04,4.0,6.0,2019.0,23.0,0 days,Ф
15338,19-06-013,ЦЕХ 35,5-734,2003.0,фрезерhый стаhок с чпу,CF-22/20,2019-06-04,"ош по оси у 6108, 8640",нехватка смазки по оси у,диагностика работы станка,2019-06-06,2019-06-04,4.0,6.0,2019.0,23.0,2 days,Ф
15339,19-06-010,ЦЕХ 3,5/417,1984.0,электроэрозионный станок,4Е-723,2019-06-04,нет прожига,выход из строя силового блока сб1,замена  платы пвс в блоке поджига,2019-06-06,2019-06-04,4.0,6.0,2019.0,23.0,2 days,Э
15340,19-06-009,ЦЕХ 26,5/38,1989.0,tokapho-peboльb.ct. с чпу,1В340Ф30РМ,2019-06-04,инстр-т не встает на позицию,треб. изготовление зап.частей,демонтаж револьв.головы,2019-06-05,2019-06-04,4.0,6.0,2019.0,23.0,1 days,Р
15341,19-06-014,Управление главного металлурга,5-735,2002.0,tokaphый ctанок с чпу,H-150,2019-06-04,не видит программу,"нет оператора, нет документации",необходим квалифицированный оператор,2019-06-04,2019-06-04,4.0,6.0,2019.0,23.0,0 days,Т
